card_name,orientation,topic,meaning
Death,reversed,career,"career stagnation, poor planning or instability"
Temperance,upright,general,"core energy aligned, progress or activation"
Temperance,reversed,general,"blocked energy, delay or imbalance"
Temperance,upright,exam,effort bringing measurable academic outcome
Temperance,reversed,exam,lack of preparation or mental distraction affecting result
Temperance,upright,love,emotional clarity or forward movement in connection
Temperance,reversed,love,"confusion, imbalance or miscommunication in relationship"
Temperance,upright,career,"career growth, opportunity or structured progress"
Temperance,reversed,career,"career stagnation, poor planning or instability"
The Devil,upright,general,"core energy aligned, progress or activation"
The Devil,reversed,general,"blocked energy, delay or imbalance"
The Devil,upright,exam,effort bringing measurable academic outcome
The Devil,reversed,exam,lack of preparation or mental distraction affecting result
The Devil,upright,love,emotional clarity or forward movement in connection
The Devil,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Devil,upright,career,"career growth, opportunity or structured progress"
The Devil,reversed,career,"career stagnation, poor planning or instability"
The Tower,upright,general,"core energy aligned, progress or activation"
The Tower,reversed,general,"blocked energy, delay or imbalance"
The Tower,upright,exam,effort bringing measurable academic outcome
The Tower,reversed,exam,lack of preparation or mental distraction affecting result
The Tower,upright,love,emotional clarity or forward movement in connection
The Tower,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Tower,upright,career,"career growth, opportunity or structured progress"
The Tower,reversed,career,"career stagnation, poor planning or instability"
The Star,upright,general,"core energy aligned, progress or activation"
The Star,reversed,general,"blocked energy, delay or imbalance"
The Star,upright,exam,effort bringing measurable academic outcome
The Star,reversed,exam,lack of preparation or mental distraction affecting result
The Star,upright,love,emotional clarity or forward movement in connection
The Star,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Star,upright,career,"career growth, opportunity or structured progress"
The Star,reversed,career,"career stagnation, poor planning or instability"
The Moon,upright,general,"core energy aligned, progress or activation"
The Moon,reversed,general,"blocked energy, delay or imbalance"
The Moon,upright,exam,effort bringing measurable academic outcome
The Moon,reversed,exam,lack of preparation or mental distraction affecting result
The Moon,upright,love,emotional clarity or forward movement in connection
The Moon,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Moon,upright,career,"career growth, opportunity or structured progress"
The Moon,reversed,career,"career stagnation, poor planning or instability"
The Sun,upright,general,"core energy aligned, progress or activation"
The Sun,reversed,general,"blocked energy, delay or imbalance"
The Sun,upright,exam,effort bringing measurable academic outcome
The Sun,reversed,exam,lack of preparation or mental distraction affecting result
The Sun,upright,love,emotional clarity or forward movement in connection
The Sun,reversed,love,"confusion, imbalance or miscommunication in relationship"
The Sun,upright,career,"career growth, opportunity or structured progress"
The Sun,reversed,career,"career stagnation, poor planning or instability"
Judgement,upright,general,"core energy aligned, progress or activation"
Judgement,reversed,general,"blocked energy, delay or imbalance"
Judgement,upright,exam,effort bringing measurable academic outcome
Judgement,reversed,exam,lack of preparation or mental distraction affecting result
Judgement,upright,love,emotional clarity or forward movement in connection
Judgement,reversed,love,"confusion, imbalance or miscommunication in relationship"
Judgement,upright,career,"career growth, opportunity or structured progress"
Judgement,reversed,career,"career stagnation, poor planning or instability"
The World,upright,general,"core energy aligned, progress or activation"
The World,reversed,general,"blocked energy, delay or imbalance"
The World,upright,exam,effort bringing measurable academic outcome
The World,reversed,exam,lack of preparation or mental distraction affecting result
The World,upright,love,emotional clarity or forward movement in connection
The World,reversed,love,"confusion, imbalance or miscommunication in relationship"
The World,upright,career,"career growth, opportunity or structured progress"
The World,reversed,career,"career stagnation, poor planning or instability"
